points,region_1,variety,price_bins
91,Walla Walla Valley (WA),Red Blend,$30-60
91,Horse Heaven Hills,Merlot,$30-60
91,Sta. Rita Hills,Pinot Noir,$30-60
91,San Luis Obispo County,Pinot Noir,$30-60
91,Santa Maria Valley,Pinot Gris,$15-30
91,San Benito County,Zinfandel,$15-30
91,Paso Robles,Zinfandel,$30-60
91,Columbia Valley (WA),Bordeaux-style Red Blend,$30-60
91,Chalone,Chardonnay,$30-60
91,Columbia Valley (WA),Sauvignon Blanc,$15-30
91,Columbia Valley (WA),Syrah,$15-30
87,Yakima Valley,Pinot Gris,<$15
87,Finger Lakes,Gewürztraminer,$15-30
87,Sierra Foothills,Mourvèdre,$15-30
87,Columbia Valley (WA),Rosé,$15-30
87,North Fork of Long Island,Sauvignon Blanc,$15-30
87,Lodi,Zinfandel,<$15
87,Yakima Valley,Riesling,<$15
87,Columbia Valley (WA),Chardonnay,$15-30
87,Paso Robles,Chardonnay,$15-30
87,Sierra Foothills,Black Muscat,$30-60
92,Columbia Valley (WA),Chardonnay,$15-30
92,Walla Walla Valley (WA),Syrah,$30-60
92,Livermore Valley,Chardonnay,$30-60
92,Horse Heaven Hills,Cabernet Sauvignon,$30-60
92,Santa Ynez Valley,Red Blend,$30-60
92,Yakima Valley,Chardonnay,$15-30
92,Walla Walla Valley (WA),Chardonnay,$30-60
92,Napa Valley,Red Blend,$30-60
92,Red Mountain,Syrah,$30-60
85,Central Coast,Red Blend,$30-60
85,Napa Valley,Cabernet Sauvignon,$30-60
85,Arroyo Grande Valley,Pinot Noir,$30-60
85,Paso Robles,Zinfandel,$15-30
85,Virginia,Viognier,$15-30
91,Finger Lakes,Riesling,<$15
91,Anderson Valley,Chardonnay,$15-30
91,Walla Walla Valley (WA),Sangiovese,$15-30
91,Finger Lakes,Cabernet Franc,$15-30
91,Knights Valley,Chardonnay,$30-60
91,Yakima Valley,Cabernet Franc,$15-30
91,Columbia Valley (WA),Bordeaux-style Red Blend,$15-30
91,Walla Walla Valley (WA),Cabernet Sauvignon,$30-60
91,Napa Valley,Red Blend,$30-60
91,Walla Walla Valley (WA),Cabernet Sauvignon,$60-100
91,Sonoma Coast,Chardonnay,$30-60
91,Carneros,Pinot Noir,$30-60
91,Alexander Valley,Chardonnay,$30-60
91,Walla Walla Valley (WA),Petit Verdot,$30-60
91,Columbia Valley (WA),Mourvèdre,$15-30
91,Livermore Valley,Petite Sirah,$30-60
89,Walla Walla Valley (WA),Cabernet Sauvignon,$30-60
88,Columbia Valley (WA),Riesling,<$15
88,Santa Ynez Valley,Grenache Blanc,$15-30
88,Columbia Valley (WA),Cabernet Sauvignon,$15-30
88,Amador County,Zinfandel,<$15
88,San Luis Obispo County,Chardonnay,$15-30
88,Paso Robles,Sauvignon Blanc,$15-30
88,Alexander Valley,Petite Sirah,$15-30
88,Russian River Valley,Chardonnay,$15-30
88,Santa Lucia Highlands,Riesling,$15-30
89,Napa Valley,Cabernet Sauvignon,$15-30
89,Clarksburg,Red Blend,$15-30
89,Happy Canyon of Santa Barbara,Cabernet Sauvignon,$30-60
89,Finger Lakes,Riesling,$15-30
89,Russian River Valley,Pinot Noir,$30-60
89,Anderson Valley,Pinot Noir,$15-30
89,Yakima Valley,Cabernet Sauvignon,$30-60
89,Finger Lakes,Riesling,<$15
89,Columbia Valley (WA),Syrah,$30-60
89,California,Zinfandel,<$15
89,Napa Valley,Cabernet Sauvignon,$15-30
89,Russian River Valley,Pinot Noir,$30-60
89,Mount Veeder,Bordeaux-style Red Blend,$60-100
89,Livermore Valley,Bordeaux-style Red Blend,$30-60
90,Napa Valley,Cabernet Sauvignon-Merlot,$60-100
90,North Fork of Long Island,Pinot Noir,$15-30
90,Wahluke Slope,Cabernet Sauvignon,$15-30
90,America,Red Blend,<$15
90,Monterey,Pinot Noir,$15-30
90,Santa Barbara County,Red Blend,$15-30
90,Washington,Red Blend,$15-30
90,Finger Lakes,Rosé,<$15
90,Walla Walla Valley (WA),Syrah,$15-30
90,Russian River Valley,Pinot Noir,$60-100
90,Russian River Valley,Pinot Noir,$60-100
90,Santa Barbara County,Red Blend,$30-60
90,Finger Lakes,Rosé,$15-30
90,Santa Ynez Valley,Grenache Blanc,$15-30
90,Columbia Valley (WA),Cabernet Sauvignon,$30-60
90,North Fork of Long Island,Rosé,$15-30
90,Columbia Valley (WA),Bordeaux-style Red Blend,$30-60
90,Columbia Valley (WA),Red Blend,$30-60
90,Livermore Valley,Cabernet Sauvignon,$30-60
90,Columbia Valley (WA),Riesling,<$15
90,Columbia Valley (WA),Red Blend,$15-30
90,Paso Robles,Zinfandel,$30-60
90,Yakima Valley,Petite Sirah,$15-30
90,Russian River Valley,Sauvignon Blanc,$15-30
90,Red Mountain,Sangiovese,$15-30
90,Columbia Valley (WA),White Blend,$15-30
90,Sonoma Coast,Pinot Noir,$30-60
90,Lodi,Zinfandel,$15-30
90,Santa Cruz Mountains,Bordeaux-style Red Blend,$30-60
90,Walla Walla Valley (WA),Bordeaux-style Red Blend,$30-60
90,Russian River Valley,Chardonnay,$30-60
89,Monticello,Bordeaux-style Red Blend,$30-60
89,California,Merlot,<$15
89,Arroyo Seco,Pinot Noir,$30-60
89,San Bernabe,Chardonnay,<$15
93,Walla Walla Valley (WA),Syrah,$30-60
93,Napa Valley,Cabernet Sauvignon,$30-60
93,Russian River Valley,Chardonnay,$30-60
93,Paso Robles,Red Blend,$30-60
93,Walla Walla Valley (WA),Syrah,$30-60
93,Napa Valley,Cabernet Sauvignon,$60-100
93,Russian River Valley,Pinot Noir,$30-60
93,Sonoma Mountain,Pinot Noir,$30-60
92,Walla Walla Valley (WA),Syrah,$15-30
92,Columbia Valley (WA),Syrah,$15-30
92,Dry Creek Valley,Sauvignon Blanc,$15-30
92,Napa Valley,Syrah,$30-60
92,Santa Barbara County,Syrah,$15-30
92,Dry Creek Valley,Cabernet Sauvignon-Syrah,$30-60
92,Columbia Valley (WA),Bordeaux-style Red Blend,$30-60
85,Paso Robles,Cabernet Sauvignon,$15-30
85,Napa Valley,White Blend,$30-60
85,Santa Lucia Highlands,Syrah,$30-60
85,Umpqua Valley,Syrah,$30-60
85,Paso Robles,Red Blend,$15-30
87,Yakima Valley,Pinot Gris,<$15
87,Russian River Valley,Chardonnay,$15-30
87,Lodi,Zinfandel,<$15
87,Sonoma County,Chardonnay,$15-30
87,Columbia Valley (WA),Roussanne,$15-30
87,Alexander Valley,Malbec,$15-30
87,Mount Veeder,Chardonnay,$15-30
87,Russian River Valley,Zinfandel,$30-60
87,Columbia Valley (WA),Riesling,$15-30
87,Paso Robles,Cabernet Sauvignon-Sangiovese,$30-60
86,Sonoma County,Merlot,$15-30
86,Napa Valley,Chardonnay,$60-100
86,Napa Valley,Cabernet Sauvignon,$15-30
85,El Dorado,Cabernet Sauvignon,$30-60
85,Willamette Valley,Pinot Noir,$15-30
85,Paso Robles,Cabernet Sauvignon,$15-30
85,Suisun Valley,Red Blend,$30-60
91,Columbia Valley (WA),Cabernet Sauvignon,$15-30
91,Santa Lucia Highlands,Pinot Noir,$30-60
91,Columbia Valley (WA),Chardonnay,$15-30
91,Carneros,Roussanne,$15-30
91,Sonoma County,Chardonnay,$15-30
91,Napa Valley,Cabernet Sauvignon,$30-60
91,Sonoma County,Sparkling Blend,$15-30
90,Columbia Valley (WA),Riesling,$15-30
90,Napa Valley,Sparkling Blend,$15-30
90,Wahluke Slope,Syrah,$15-30
90,Yountville,Cabernet Sauvignon,$30-60
82,Napa Valley,Zinfandel,<$15
82,Columbia Valley (OR),Syrah,$30-60
82,Willamette Valley,Pinot Gris,<$15
82,Arroyo Seco,Chardonnay,$15-30
82,California,Pinot Grigio,$15-30
82,Alexander Valley,Merlot,$15-30
82,Russian River Valley,Zinfandel,$15-30
82,California,Rosé,<$15
82,Paso Robles,Zinfandel,$60-100
82,Temecula Valley,Meritage,$30-60
82,Paso Robles,Grenache,$15-30
82,Carmel Valley,Chardonnay,$15-30
82,Rogue Valley,Marsanne-Roussanne,$15-30
82,Monterey County,Syrah,$30-60
82,Central Coast,Chardonnay,<$15
82,Central Coast,Cabernet Sauvignon,<$15
82,San Luis Obispo County,Pinot Noir,$15-30
82,Sonoma Coast,Pinot Noir,$15-30
82,Sonoma Valley,Cabernet Sauvignon,$15-30
82,Sonoma Valley,Cabernet Sauvignon,$30-60
82,California,Chardonnay,<$15
82,Finger Lakes,Riesling,<$15
82,California,Pinot Noir,<$15
82,California,Dolcetto,$30-60
90,Horse Heaven Hills,Cabernet Sauvignon,$15-30
90,Columbia Valley (WA),Red Blend,$30-60
90,California,Rosé,$15-30
90,Sonoma County,Sauvignon Blanc,$15-30
90,Yakima Valley,Rosé,$15-30
90,Russian River Valley,Pinot Noir,$30-60
90,Sonoma Coast,Pinot Noir,$30-60
90,Napa Valley,Bordeaux-style Red Blend,$60-100
90,Sonoma County,Chardonnay,$15-30
90,Columbia Gorge (WA),Rosé,$15-30
90,Columbia Valley (WA),Chenin Blanc,$15-30
90,Red Mountain,Bordeaux-style Red Blend,$30-60
90,North Fork of Long Island,Bordeaux-style Red Blend,$30-60
90,California,Pinot Noir,<$15
90,Finger Lakes,Riesling,<$15
90,Lake County,Zinfandel,$30-60
90,Santa Cruz Mountains,Pinot Noir,$30-60
90,Columbia Valley (WA),Riesling,<$15
90,California,Red Blend,<$15
90,Columbia Valley (WA),Malbec,$30-60
90,Green Valley,Gewürztraminer,$15-30
90,Russian River Valley,Chardonnay,$30-60
87,Columbia Valley (WA),Red Blend,<$15
87,North Fork of Long Island,Red Blend,$60-100
87,California,Red Blend,<$15
87,Finger Lakes,Riesling,$15-30
87,California,Red Blend,<$15
87,North Fork of Long Island,Cabernet Franc,$15-30
87,Clarksburg,Moscato,$15-30
87,California,Red Blend,<$15
87,California,Zinfandel,<$15
87,Yakima Valley,Chardonnay,<$15
87,Yakima Valley,Rosé,<$15
84,North Fork of Long Island,Merlot,$15-30
84,Napa Valley,Red Blend,$30-60
84,North Fork of Long Island,Merlot,$15-30
84,Sonoma Coast,Pinot Noir,$15-30
84,Sonoma County,Merlot,<$15
84,Mendocino County,Pinot Blanc,<$15
84,Paso Robles,Red Blend,$15-30
83,Rutherford,Chardonnay,$60-100
83,Wahluke Slope,Merlot,$15-30
83,America,Sauvignon Blanc,$15-30
83,Washington,Pinot Noir,$15-30
83,America,Pinot Grigio,$15-30
83,Paso Robles,Red Blend,$15-30
90,Willamette Valley,Pinot Noir,$30-60
90,Mendocino County,Syrah,<$15
90,Santa Ynez Valley,Syrah,$15-30
90,Sonoma County,Cabernet Franc,$30-60
90,Dry Creek Valley,Zinfandel,$15-30
90,Carneros,Pinot Noir,$30-60
90,Carneros,Merlot,$30-60
90,Chehalem Mountains,Pinot Noir,$30-60
83,California,Zinfandel,$15-30
82,Columbia Valley (WA),Syrah,<$15
82,Napa County,Chardonnay,$15-30
82,Napa Valley,Sauvignon Blanc,$15-30
82,Napa Valley,Cabernet Sauvignon,$15-30
82,Columbia Valley (WA),Sangiovese,$15-30
82,California,Sparkling Blend,<$15
82,Lodi,Tempranillo,$15-30
82,Columbia Valley (WA),Cabernet Merlot,$15-30
86,Russian River Valley,Sparkling Blend,$15-30
86,California,Sparkling Blend,<$15
86,Santa Barbara County,Pinot Noir,$15-30
86,Umpqua Valley,Dolcetto,$15-30
86,McMinnville,Pinot Blanc,$15-30
86,Santa Ynez Valley,Red Blend,$15-30
86,California,Pinot Grigio,<$15
86,Sonoma County,Chardonnay,<$15
86,California,Sparkling Blend,<$15
86,Santa Barbara County,Malbec,$15-30
86,Livermore Valley,Chardonnay,<$15
86,Redwood Valley,Zinfandel,$15-30
85,Santa Barbara County,Chardonnay,$15-30
86,Columbia Valley (WA),Pinot Gris,$15-30
86,Red Mountain,Sangiovese,$15-30
86,Santa Ynez Valley,Chardonnay,$15-30
86,Sonoma Valley,Cabernet Sauvignon,$30-60
86,Columbia Valley (WA),Syrah,$15-30
86,El Dorado,Mourvèdre,$15-30
86,Columbia Valley (WA),Cabernet Sauvignon,$15-30
89,Umpqua Valley,Syrah,$30-60
89,Willamette Valley,Pinot Noir,$30-60
89,Santa Barbara County,Syrah,$30-60
89,Dundee Hills,Pinot Noir,$30-60
89,Russian River Valley,Pinot Noir,$60-100
89,Arroyo Seco,Pinot Noir,$30-60
89,Eola-Amity Hills,Pinot Noir,$30-60
89,Eola-Amity Hills,Pinot Gris,$15-30
89,Willamette Valley,Pinot Noir,$15-30
87,Sierra Foothills,Malbec,$15-30
87,Napa Valley,Cabernet Franc,$30-60
87,Napa Valley,Cabernet Sauvignon,$30-60
87,Lodi,Zinfandel,<$15
87,Rogue Valley,Syrah,$15-30
87,Central Coast,Pinot Noir,<$15
87,Willamette Valley,Pinot Noir,$15-30
87,Grand Valley,Cabernet Sauvignon,$15-30
87,Sonoma County,Chardonnay,<$15
87,Virginia,Meritage,$15-30
86,Russian River Valley,Pinot Noir,$30-60
86,California,Cabernet Sauvignon,$60-100
86,Alexander Valley,Chardonnay,$30-60
86,Russian River Valley,Pinot Noir,$30-60
90,Yakima Valley,Viognier,<$15
90,Napa Valley,Cabernet Sauvignon,$60-100
90,Walla Walla Valley (WA),Cabernet Sauvignon,$30-60
90,Rutherford,Cabernet Sauvignon,100-500
90,Santa Ynez Valley,Sauvignon Blanc,$15-30
90,Napa Valley,Syrah,$30-60
90,Sonoma Coast,Chardonnay,$30-60
90,Russian River Valley,Chardonnay,$30-60
90,California,Red Blend,$15-30
90,Mendocino County,Petite Sirah,$30-60
90,Carneros,Chardonnay,$15-30
90,Russian River Valley,Zinfandel,$30-60
90,Columbia Valley (WA),Malbec,$30-60
90,Napa Valley,Sauvignon Blanc,$15-30
90,Mendocino County,Zinfandel,$15-30
90,Dry Creek Valley,Sauvignon Blanc,$15-30
90,Carneros,Sparkling Blend,$30-60
90,Carneros,Sparkling Blend,$15-30
89,Carneros,Syrah,$30-60
89,Sonoma County-Lake County,Sauvignon Blanc,$15-30
89,Columbia Valley (WA),Red Blend,$30-60
89,Santa Barbara County,Viognier,$15-30
89,Columbia Valley (WA),Merlot,$15-30
89,Yakima Valley,Malbec,$30-60
89,Russian River Valley,Chardonnay,$15-30
89,Yakima Valley,Syrah,$30-60
89,Yakima Valley,Petit Verdot,$30-60
89,Edna Valley,Chardonnay,$15-30
91,Fair Play,Syrah-Grenache,$30-60
91,Chehalem Mountains,Pinot Noir,$30-60
91,Sonoma Coast,Pinot Noir,$30-60
91,McMinnville,Pinot Noir,$30-60
91,Temecula Valley,Syrah,$30-60
91,Eola-Amity Hills,Pinot Noir,$30-60
91,Napa Valley,Pinot Noir,$30-60
91,Eola-Amity Hills,Pinot Noir,$30-60
91,Redwood Valley,Syrah,$15-30
91,Chehalem Mountains,Riesling,$15-30
91,Willamette Valley,Pinot Noir,$30-60
91,Lodi,Zinfandel,<$15
91,Santa Maria Valley,Pinot Noir,$30-60
91,Willamette Valley,Chardonnay,$30-60
91,Dundee Hills,Pinot Noir,$15-30
84,Dry Creek Valley,Zinfandel,$15-30
84,Carneros,Merlot,$15-30
84,Napa Valley,Syrah,$60-100
84,Monterey County,Chardonnay,<$15
84,New Mexico,Mourvèdre,$15-30
84,Clarksburg,White Blend,<$15
84,California,Chardonnay,<$15
84,California,Chardonnay,<$15
84,Finger Lakes,Riesling,<$15
84,Virginia,Chardonnay,$15-30
84,Russian River Valley,Chardonnay,$15-30
83,Finger Lakes,Chardonnay,$15-30
83,California,Chardonnay,<$15
83,New Mexico,Cabernet Franc,$30-60
91,Napa Valley,Sauvignon Blanc,$15-30
91,Napa Valley,Cabernet Sauvignon,$30-60
91,Napa Valley,Cabernet Sauvignon,$30-60
91,Calistoga,White Blend,$15-30
91,Alexander Valley,Red Blend,$15-30
91,Napa Valley,White Blend,$15-30
91,Santa Maria Valley,Chardonnay,$30-60
91,Mt. Harlan,Pinot Noir,$60-100
90,Calaveras County,Tempranillo,$15-30
91,Santa Maria Valley,Pinot Noir,$60-100
91,Santa Maria Valley,Pinot Noir,$30-60
91,California,Pinot Noir,$30-60
91,Chalk Hill,Chardonnay,$30-60
91,Santa Cruz Mountains,Pinot Noir,$30-60
91,Santa Maria Valley,Chardonnay,$30-60
91,Arroyo Grande Valley,Chardonnay,$15-30
91,Columbia Gorge (OR),Pinot Gris,$15-30
91,Willamette Valley,Riesling,$15-30
86,Napa Valley,Chardonnay,$15-30
86,Paso Robles,Bordeaux-style Red Blend,$15-30
86,Sta. Rita Hills,Pinot Noir,$15-30
86,Carneros,Chardonnay,$15-30
86,Santa Barbara County,Chardonnay,<$15
85,Lake Michigan Shore,Pinot Noir,$30-60
85,Lake Michigan Shore,Riesling,$30-60
85,Willamette Valley,Pinot Noir,$15-30
85,Sonoma Coast,Pinot Noir,$30-60
85,Applegate Valley,Merlot,$15-30
85,Napa Valley,Cabernet Sauvignon,$30-60
85,Applegate Valley,Riesling,$15-30
85,California,Pinot Noir,<$15
85,Lake County,Chardonnay,$30-60
87,Lodi,Cabernet Franc,$15-30
87,Lake County,Sauvignon Blanc,$15-30
87,Southern Oregon,Tempranillo,$15-30
87,Lake County,Sauvignon Blanc,$15-30
87,Napa Valley,Sauvignon Blanc,$15-30
87,Oregon,Cabernet Sauvignon,100-500
87,Mount Veeder,Chardonnay,$30-60
87,Finger Lakes,Riesling,$15-30
86,Willamette Valley,Pinot Gris,<$15
86,Yakima Valley,Chardonnay,$15-30
86,Dry Creek Valley,Zinfandel,$15-30
86,Willamette Valley,Lagrein,$30-60
86,South Coast,Cabernet Sauvignon,$30-60
86,Lake County,Sauvignon Blanc,$15-30
86,Yountville,Merlot,$60-100
86,California,Pinot Grigio,<$15
86,California,Chardonnay,<$15
86,Columbia Gorge (WA),Pinot Noir,$30-60
94,Sonoma Valley,Cabernet Sauvignon,$60-100
94,Columbia Valley (WA),Cabernet Sauvignon,$30-60
94,Yakima Valley,Riesling,$15-30
94,Sonoma Coast,Chardonnay,$30-60
94,Columbia Valley (WA),Petit Verdot,$15-30
94,Columbia Valley (WA),Syrah,$60-100
94,Walla Walla Valley (WA),Cabernet Sauvignon,$60-100
94,Columbia Valley (WA),Bordeaux-style Red Blend,$30-60
94,Napa Valley,Cabernet Sauvignon,$30-60
94,Columbia Valley (WA),Bordeaux-style Red Blend,$30-60
94,San Benito County,Pinot Noir,$30-60
94,Napa Valley,Cabernet Sauvignon,100-500
94,Applegate Valley,Syrah,$30-60
94,Sonoma Coast,Pinot Noir,$60-100
94,Chehalem Mountains,Pinot Noir,$60-100
94,Willamette Valley,Pinot Noir,$60-100
94,Chehalem Mountains,Pinot Noir,$30-60
94,McMinnville,Pinot Noir,$30-60
94,Eola-Amity Hills,Pinot Noir,$30-60
94,Oregon,Viognier,$15-30
94,Ballard Canyon,Syrah,$60-100
94,Arroyo Grande Valley,Pinot Noir,$60-100
86,Virginia,Petit Verdot,$30-60
86,Texas,Red Blend,$30-60
86,Virginia,Cabernet Franc,<$15
86,Alexander Valley,Sauvignon Blanc,$15-30
86,Texas,Roussanne,$15-30
87,Carneros,Chardonnay,$15-30
87,Columbia Valley (WA),Zinfandel,$15-30
87,Northern Sonoma,Cabernet Sauvignon,$30-60
87,Yakima Valley,Riesling,<$15
87,Monterey,Muscat,<$15
86,California,Rhône-style Red Blend,<$15
86,California,Grenache,<$15
86,Yakima Valley,Chardonnay,<$15
86,Northern Sonoma,Zinfandel,$15-30
86,Idaho,Syrah,<$15
86,Sonoma Valley,Zinfandel,$15-30
86,Alexander Valley,Cabernet Franc,$15-30
86,Yakima Valley,Merlot,<$15
86,Columbia Valley (WA),Cabernet Sauvignon-Merlot,<$15
86,Mendocino,Pinot Noir,$15-30
86,Rutherford,Viognier,$15-30
87,Monticello,Chardonnay,$15-30
87,Southern Oregon,Malbec,$15-30
87,Willamette Valley,Chardonnay,$15-30
87,Willamette Valley,Pinot Noir,$30-60
87,Paso Robles,Sauvignon Blanc,$15-30
87,Rutherford,Cabernet Sauvignon,$30-60
87,McMinnville,Pinot Noir,$30-60
87,Rogue Valley,Pinot Noir,$15-30
87,Willamette Valley,Pinot Grigio,$15-30
87,Elkton Oregon,Riesling,$15-30
87,Paso Robles,Petit Verdot,$15-30
87,Willamette Valley,White Blend,$15-30
87,Paso Robles,Viognier,$15-30
87,Willamette Valley,Pinot Noir,$15-30
87,Russian River Valley,Chardonnay,$30-60
88,Paso Robles,Petite Sirah,$30-60
88,Amador County,Muscat Hamburg,<$15
88,Sonoma County,Red Blend,$30-60
88,Yakima Valley,Touriga Nacional,$15-30
88,Columbia Valley (WA),Mourvèdre,$30-60
88,California,Red Blend,$30-60
88,North Coast,White Blend,$15-30
86,Applegate Valley,Syrah,$30-60
86,Oregon,White Blend,<$15
86,Rogue Valley,Bordeaux-style Red Blend,$15-30
86,Oregon,Chardonnay,<$15
86,California,Red Blend,<$15
86,Central Coast,Chardonnay,$15-30
86,America,Merlot,<$15
86,America,Pinot Gris,<$15
86,California,Cabernet Sauvignon,<$15
86,Umpqua Valley,Baco Noir,$15-30
86,Virginia,Vidal Blanc,$15-30
86,Carneros,Pinot Noir,$15-30
86,Mendocino,Red Blend,$30-60
86,Shenandoah Valley,Chardonnay,$15-30
86,Napa Valley,Cabernet Sauvignon,$15-30
88,California,Sauvignon Blanc,<$15
88,Willamette Valley,Pinot Noir,$30-60
88,Arroyo Seco,Chardonnay,$15-30
88,Anderson Valley,Pinot Noir,$30-60
88,Willamette Valley,Pinot Noir,$15-30
88,Mendocino County,Pinot Noir,$15-30
88,Napa Valley,Cabernet Sauvignon,$30-60
89,Carneros,Pinot Noir,$30-60
89,Russian River Valley,Pinot Noir,$30-60
89,Horse Heaven Hills,Tempranillo,$30-60
89,Columbia Valley (WA),Syrah,$15-30
89,Walla Walla Valley (WA),Red Blend,$15-30
89,Napa Valley,Cabernet Sauvignon,$60-100
89,Columbia Valley (WA),Viognier,$15-30
89,Temecula Valley,Syrah,$30-60
89,Columbia Valley (WA),Cabernet Sauvignon,$15-30
89,Columbia Valley (WA),Syrah,$15-30
89,Santa Barbara County,Chardonnay,$15-30
89,Napa Valley,Fumé Blanc,$15-30
89,Washington,Syrah,$30-60
87,Livermore Valley,Petit Verdot,$30-60
87,Lodi,Cabernet Sauvignon,$15-30
87,Carneros,Pinot Noir,$15-30
87,Sierra Foothills,Rhône-style White Blend,$15-30
87,Red Hills Lake County,Cabernet Sauvignon,$15-30
87,North Coast,Cabernet Sauvignon,$15-30
87,Santa Maria Valley,Albariño,$15-30
87,Livermore Valley,Cabernet Sauvignon,$60-100
87,Amador County,Syrah,$30-60
87,Amador County,Red Blend,$15-30
90,Finger Lakes,Cabernet Franc,$15-30
90,Columbia Valley (WA),Rhône-style Red Blend,$15-30
90,Columbia Valley (WA),Chardonnay,$30-60
90,Finger Lakes,Riesling,$15-30
90,Monterey County,Rosé,$15-30
90,Columbia Valley (WA),Tempranillo,$15-30
90,Santa Ynez Valley,Rosé,$15-30
90,Walla Walla Valley (WA),Riesling,$15-30
89,Finger Lakes,Riesling,$15-30
89,Santa Ynez Valley,Rosé,$15-30
89,Oak Knoll District,Cabernet Franc,$30-60
89,Columbia Valley (WA),Malbec,$15-30
91,Monterey,Red Blend,$15-30
91,Temecula Valley,Syrah,$30-60
91,Ancient Lakes,Riesling,$15-30
91,Columbia Valley (WA),Syrah,$30-60
91,Red Mountain,Bordeaux-style Red Blend,$30-60
91,Columbia Valley (WA),Riesling,$15-30
91,Yakima Valley,Cabernet Sauvignon,$30-60
91,Sta. Rita Hills,Pinot Noir,$30-60
91,Finger Lakes,Chardonnay,$15-30
91,Amador County,Zinfandel,$15-30
91,Columbia Valley (WA),Bordeaux-style Red Blend,$15-30
88,Livermore Valley,Cabernet Sauvignon,$30-60
88,Columbia Valley (WA),Merlot,$30-60
88,Oakville,Cabernet Sauvignon,$60-100
88,Columbia Valley (WA),Petit Verdot,$15-30
88,Santa Clara Valley,Zinfandel,$15-30
88,Finger Lakes,Red Blend,$15-30
88,Fort Ross-Seaview,Pinot Noir,$30-60
88,Edna Valley,Viognier,$15-30
88,Lodi,Zinfandel,$15-30
88,Horse Heaven Hills,Cabernet Sauvignon,$15-30
88,Finger Lakes,Cabernet Franc,<$15
88,Cayuga Lake,Sauvignon Blanc,$15-30
88,Carmel Valley,Red Blend,<$15
88,Columbia Valley (WA),Bordeaux-style Red Blend,$15-30
88,Columbia Valley (WA),Syrah-Petite Sirah,$30-60
88,Columbia Valley (WA),Chardonnay,$15-30
91,Dundee Hills,Pinot Noir,$60-100
91,Oregon,Rosé,$30-60
91,Central Coast,Chardonnay,$15-30
91,Willamette Valley,Chardonnay,$30-60
91,Willamette Valley,Pinot Noir,$30-60
91,Willamette Valley,Pinot Noir,$60-100
91,Willamette Valley,Pinot Noir,$30-60
91,Carneros,Chardonnay,$15-30
91,Willamette Valley,Pinot Noir,$30-60
91,Willamette Valley,Pinot Noir,$30-60
91,Sonoma Mountain,Cabernet Sauvignon,$30-60
91,Eola-Amity Hills,Pinot Noir,$30-60
91,Willamette Valley,Pinot Noir,$30-60
91,Willamette Valley,Pinot Noir,$30-60
91,Willamette Valley,Pinot Noir,$30-60
91,Leelanau Peninsula,Chardonnay,$15-30
89,Paso Robles,Mourvèdre,$60-100
89,Lodi,Zinfandel,$30-60
89,McMinnville,Pinot Noir,$30-60
89,Dundee Hills,Pinot Noir,$60-100
89,Oregon,Cabernet Sauvignon,$30-60
89,Amador County,Barbera,$15-30
89,Oregon,Rosé,<$15
89,Willamette Valley,Pinot Meunier,$15-30
89,Chehalem Mountains,Pinot Noir,$60-100
89,Santa Maria Valley,Pinot Blanc,$15-30
88,Santa Barbara County,Syrah-Merlot,$30-60
88,Sonoma County,Rosé,<$15
88,Santa Lucia Highlands,Pinot Noir,$30-60
88,Paso Robles,G-S-M,$15-30
88,Oregon,Chardonnay,<$15
88,Mendocino,Red Blend,$15-30
88,Alexander Valley,Zinfandel,$30-60
88,Monterey County,Chardonnay,$15-30
88,Russian River Valley,Sauvignon Blanc,$15-30
88,Alexander Valley,Cabernet Sauvignon,$15-30
88,Santa Ynez Valley,Bordeaux-style Red Blend,$30-60
88,Willamette Valley,Pinot Noir,$15-30
88,Amador County,Red Blend,$15-30
88,Willamette Valley,Pinot Noir,$30-60
88,Willamette Valley,Pinot Gris,$15-30
88,Old Mission Peninsula,Riesling,$15-30
98,Napa Valley,Semillon-Sauvignon Blanc,$60-100
98,Napa Valley,Cabernet Sauvignon,100-500
97,Sonoma Valley,Syrah,$60-100
96,Alexander Valley,Sémillon,$30-60
96,Rutherford,Cabernet Sauvignon,100-500
96,Stags Leap District,Cabernet Sauvignon,$60-100
96,Napa Valley,Bordeaux-style Red Blend,100-500
96,Napa Valley,Cabernet Sauvignon,$60-100
95,Napa Valley,Cabernet Sauvignon,$60-100
95,Spring Mountain District,Cabernet Sauvignon,$60-100
95,Carneros,Sparkling Blend,$60-100
95,Oakville,Cabernet Sauvignon,100-500
95,Russian River Valley,Pinot Noir,$30-60
95,Willamette Valley,Pinot Noir,$30-60
95,St. Helena,Cabernet Sauvignon,100-500
94,Sonoma County,Syrah,$60-100
94,Calistoga,Cabernet Sauvignon,$30-60
94,Santa Cruz Mountains,Pinot Noir,$60-100
94,Sta. Rita Hills,Pinot Noir,$30-60
94,Calistoga,Cabernet Sauvignon,100-500
94,Calistoga,Bordeaux-style Red Blend,$30-60
85,Sonoma County,Cabernet Sauvignon,$15-30
85,Mendocino Ridge,Riesling,$15-30
85,California,Chardonnay,<$15
85,California,Syrah,$15-30
85,Mendocino,Chenin Blanc,<$15
85,California,White Blend,<$15
85,Alexander Valley,Cabernet Sauvignon,$30-60
85,Oregon,Zinfandel,$15-30
85,Sonoma Valley,Sauvignon Blanc,$15-30
85,California,Sauvignon Blanc,<$15
